"time","metric","scenario","group","load_zone","tags","nz_count","count"
"2025-09-17T20:43:21+00:00","failed_requests","default","","amazon:us:columbus","{}",23,1490
"2025-09-17T20:43:24+00:00","failed_requests","default","","amazon:us:columbus","{}",10,3323
"2025-09-17T20:43:27+00:00","failed_requests","default","","amazon:us:columbus","{}",7,3723
"2025-09-17T20:43:30+00:00","failed_requests","default","","amazon:us:columbus","{}",3,3844
"2025-09-17T20:43:33+00:00","failed_requests","default","","amazon:us:columbus","{}",0,3804
"2025-09-17T20:43:36+00:00","failed_requests","default","","amazon:us:columbus","{}",0,3859
"2025-09-17T20:43:39+00:00","failed_requests","default","","amazon:us:columbus","{}",0,3890
"2025-09-17T20:43:42+00:00","failed_requests","default","","amazon:us:columbus","{}",2,3836
"2025-09-17T20:43:45+00:00","failed_requests","default","","amazon:us:columbus","{}",4,3816
"2025-09-17T20:43:48+00:00","failed_requests","default","","amazon:us:columbus","{}",6,3917
"2025-09-17T20:43:51+00:00","failed_requests","default","","amazon:us:columbus","{}",70,3872
"2025-09-17T20:43:54+00:00","failed_requests","default","","amazon:us:columbus","{}",688,3514
"2025-09-17T20:43:57+00:00","failed_requests","default","","amazon:us:columbus","{}",640,3704
"2025-09-17T20:44:00+00:00","failed_requests","default","","amazon:us:columbus","{}",458,3114
"2025-09-17T20:44:03+00:00","failed_requests","default","","amazon:us:columbus","{}",134,3754
"2025-09-17T20:44:06+00:00","failed_requests","default","","amazon:us:columbus","{}",22,3867
"2025-09-17T20:44:09+00:00","failed_requests","default","","amazon:us:columbus","{}",9,3877
"2025-09-17T20:44:12+00:00","failed_requests","default","","amazon:us:columbus","{}",0,3935
"2025-09-17T20:44:15+00:00","failed_requests","default","","amazon:us:columbus","{}",0,3949
"2025-09-17T20:44:18+00:00","failed_requests","default","","amazon:us:columbus","{}",2,3949
"2025-09-17T20:44:21+00:00","failed_requests","default","","amazon:us:columbus","{}",0,1966
